max_spares_ion\max_spares_rps,,,,,,,,,,,
,120,125,130,135,140,145,150,155,160,165,170
4,56131.67982,41078.31913,36554.63877,35436.30155,35228.90485,35224.30575,35257.49608,35296.61224,35336.51437,35376.50509,35416.50433
5,45448.85559,30336.07403,25793.64708,24670.36355,24461.87176,24457.06847,24490.22661,24529.33847,24569.24011,24609.23078,24649.23002
6,43933.58885,28810.27364,24264.4889,23140.3109,22931.61932,22926.77846,22959.93063,22999.04168,23038.94323,23078.93389,23118.93313
7,43805.78876,28680.87318,24134.57305,23010.25646,22801.53364,22796.68687,22829.83809,22868.94901,22908.85054,22948.8412,22988.84044
8,43861.65797,28736.52966,24190.16033,23065.82496,22857.09788,22852.25028,22885.40137,22924.51228,22964.4138,23004.40447,23044.4037
