1,2,3,4,5,6,7,8,9,10,,,1,2,3,4,5,6,7,8,9,10,,,,,,
2.1303E+06,1.0204E+06,7.5389E+05,7.0169E+05,6.9312E+05,6.9197E+05,6.9189E+05,6.9195E+05,6.9203E+05,6.9211E+05,,100,2130.258,1020.391,753.890,701.691,693.122,691.966,691.890,691.953,692.031,692.111,,,,,,
1.8967E+06,7.2862E+05,4.4271E+05,3.8564E+05,3.7610E+05,3.7478E+05,3.7468E+05,3.7474E+05,3.7482E+05,3.7490E+05,,105,1896.706,728.619,442.705,385.644,376.099,374.780,374.681,374.741,374.818,374.898,,,,,,
1.7574E+06,5.5348E+05,2.5539E+05,1.9522E+05,1.8504E+05,1.8361E+05,1.8350E+05,1.8356E+05,1.8363E+05,1.8371E+05,,110,1757.385,553.482,255.391,195.221,185.041,183.613,183.499,183.556,183.634,183.714,,,,,,
1.6868E+06,4.6430E+05,1.5978E+05,9.7940E+04,8.7414E+04,8.5927E+04,8.5803E+04,8.5859E+04,8.5937E+04,8.6017E+04,,115,1686.811,464.299,159.777,97.940,87.414,85.927,85.803,85.859,85.937,86.017,,,,,,
1.6567E+06,4.2608E+05,1.1872E+05,5.6132E+04,4.5449E+04,4.3934E+04,4.3806E+04,4.3862E+04,4.3939E+04,4.4019E+04,,120,1656.707,426.081,118.716,56.132,45.449,43.934,43.806,43.862,43.939,44.019,,,,,,
1.6459E+06,4.1236E+05,1.0394E+05,4.1078E+04,3.0336E+04,2.8810E+04,2.8681E+04,2.8737E+04,2.8814E+04,2.8894E+04,,125,1645.945,412.357,103.942,41.078,30.336,28.810,28.681,28.737,28.814,28.894,,,,,,
1.6427E+06,4.0825E+05,9.9506E+04,3.6555E+04,2.5794E+04,2.4264E+04,2.4135E+04,2.4190E+04,2.4268E+04,2.4347E+04,,130,1642.737,408.245,99.506,36.555,25.794,24.264,24.135,24.190,24.268,24.347,,,,,,
1.6420E+06,4.0723E+05,9.8410E+04,3.5436E+04,2.4670E+04,2.3140E+04,2.3010E+04,2.3066E+04,2.3143E+04,2.3223E+04,,135,1641.958,407.234,98.410,35.436,24.670,23.140,23.010,23.066,23.143,23.223,,,,,,
1.6418E+06,4.0705E+05,9.8208E+04,3.5229E+04,2.4462E+04,2.2932E+04,2.2802E+04,2.2857E+04,2.2935E+04,2.3014E+04,,140,1641.824,407.049,98.208,35.229,24.462,22.932,22.802,22.857,22.935,23.014,,,,,,
1.6418E+06,4.0705E+05,9.8204E+04,3.5224E+04,2.4457E+04,2.2927E+04,2.2797E+04,2.2852E+04,2.2930E+04,2.3009E+04,,145,1641.832,407.049,98.204,35.224,24.457,22.927,22.797,22.852,22.930,23.009,,,,,,
1.6419E+06,4.0708E+05,9.8237E+04,3.5257E+04,2.4490E+04,2.2960E+04,2.2830E+04,2.2885E+04,2.2963E+04,2.3043E+04,,150,1641.868,407.083,98.237,35.257,24.490,22.960,22.830,22.885,22.963,23.043,,,,,,
1.6419E+06,4.0712E+05,9.8276E+04,3.5297E+04,2.4529E+04,2.2999E+04,2.2869E+04,2.2925E+04,2.3002E+04,2.3082E+04,,155,1641.907,407.122,98.276,35.297,24.529,22.999,22.869,22.925,23.002,23.082,,,,,,
1.6419E+06,4.0716E+05,9.8316E+04,3.5337E+04,2.4569E+04,2.3039E+04,2.2909E+04,2.2964E+04,2.3042E+04,2.3122E+04,,160,1641.947,407.162,98.316,35.337,24.569,23.039,22.909,22.964,23.042,23.122,,,,,,
1.6420E+06,4.0720E+05,9.8356E+04,3.5377E+04,2.4609E+04,2.3079E+04,2.2949E+04,2.3004E+04,2.3082E+04,2.3162E+04,,165,1641.987,407.202,98.356,35.377,24.609,23.079,22.949,23.004,23.082,23.162,,,,,,
1.6420E+06,4.0724E+05,9.8396E+04,3.5417E+04,2.4649E+04,2.3119E+04,2.2989E+04,2.3044E+04,2.3122E+04,2.3202E+04,,170,1642.027,407.242,98.396,35.417,24.649,23.119,22.989,23.044,23.122,23.202,,,,,,
1.6421E+06,4.0728E+05,9.8436E+04,3.5457E+04,2.4689E+04,2.3159E+04,2.3029E+04,2.3084E+04,2.3162E+04,2.3242E+04,,175,1642.067,407.282,98.436,35.457,24.689,23.159,23.029,23.084,23.162,23.242,,,,,,
1.6421E+06,4.0732E+05,9.8476E+04,3.5497E+04,2.4729E+04,2.3199E+04,2.3069E+04,2.3124E+04,2.3202E+04,2.3282E+04,,180,1642.107,407.322,98.476,35.497,24.729,23.199,23.069,23.124,23.202,23.282,,,,,,
1.6421E+06,4.0736E+05,9.8516E+04,3.5537E+04,2.4769E+04,2.3239E+04,2.3109E+04,2.3164E+04,2.3242E+04,2.3322E+04,,185,1642.147,407.362,98.516,35.537,24.769,23.239,23.109,23.164,23.242,23.322,,,,,,
1.6422E+06,4.0740E+05,9.8556E+04,3.5577E+04,2.4809E+04,2.3279E+04,2.3149E+04,2.3204E+04,2.3282E+04,2.3362E+04,,190,1642.187,407.402,98.556,35.577,24.809,23.279,23.149,23.204,23.282,23.362,,,,,,
1.6422E+06,4.0744E+05,9.8596E+04,3.5617E+04,2.4849E+04,2.3319E+04,2.3189E+04,2.3244E+04,2.3322E+04,2.3402E+04,,195,1642.227,407.442,98.596,35.617,24.849,23.319,23.189,23.244,23.322,23.402,,,,,,
1.6423E+06,4.0748E+05,9.8636E+04,3.5657E+04,2.4889E+04,2.3359E+04,2.3229E+04,2.3284E+04,2.3362E+04,2.3442E+04,,200,1642.267,407.482,98.636,35.657,24.889,23.359,23.229,23.284,23.362,23.442,,,,,,
